0,-0.86486,-0.42682,2.164,-1.8187,5,3.511,2.0572,2.5929
0,3,0.55091,2.0691,6.5195,1.6801,1.0762,3.694,-0.33831
0,0.55038,2.538,-2.2574,1.1285,2.961,-1.4328,2.899,0.84842
0,-3.1774,-2.0532,-0.84073,0.81913,2.0263,1.1044,-1.8399,-2.394
0,1.4985,1.9063,3.4926,2.5301,0.62936,-4.2825,7.9263,0.47786
0,3,1.1155,1.0498,-1.9484,4.5975,-2.3797,-3.4704,-0.048767
0,-2.0732,3.1706,1.027,-3.0549,-4.5609,-1.2909,0.24878,1.4718
0,0.70248,1.9518,5.0277,-3.0633,0.67335,2.6295,-1.5794,-2.0444
0,-0.43751,4.0545,-3,-2.5561,2.1824,-1.343,-3.0934,-0.94473
0,-1.8535,-1.2648,1.8794,1.3655,-3.9238,-1.6367,-4.1005,-2.3782
0,1.3981,-2.8994,0.022766,2.5502,5,-2.8502,-2.2984,-1.7884
0,3,-0.21616,-3,-1.4917,-3.0099,6,1.6908,1.1198
0,3,6.796,-3,2.0859,1.1153,1.2857,5.6603,0.6632
0,0.68106,1.9569,-1.0416,0.31209,-4.7844,-1.9048,-4.6581,-1.9506
0,0.94897,-2.9653,-3,-1.2672,0.081973,1.6217,2.2136,2.1701
0,-3.6848,2.3313,-3,-2.2777,-4.0332,0.25372,-5.7823,2.7846
0,-3.6267,2.3213,-3,-5,-1.8628,1.622,-8.991,-3.0141
0,3,-1.6603,4.6477,-0.22325,2.6145,0.59843,0.14715,0.71204
0,0.86419,-3.2422,-0.29184,-0.73389,-2.4189,2.4868,-0.78486,-0.049274
0,-2.5861,-6,-3,0.56184,-3.9967,3.2939,-1.7374,4.9516
0,-2.8742,-4.0324,5.3639,3.8973,4.9242,-2.8137,1.8902,1.6659
0,-3.6422,-2.5666,2.3993,2.459,0.13418,-2.4329,-2.517,-4.0476
0,-1.1799,-1.1593,-1.9033,-3.4377,-1.1457,-0.18106,1.2827,-0.09231
0,-3.5207,0.78462,3.5373,0.31491,-1.4238,6,-2.2887,3.55
0,3,-1.0429,0.97275,5.5366,-4.2246,1.8145,-0.54749,1.2059
0,3,0.45958,-3,-2.3264,0.64454,-0.261,2.5828,0.34225
0,2.758,-1.6236,-3,0.74588,-0.12938,-2.3351,2.276,-4.298
0,-4,1.4261,0.061165,2.9074,-1.9741,-6.43,1.4113,2.6196
0,-3.6259,-1.298,-3,-3.6939,-1.6246,3.174,0.40944,0.25265
0,3,1.9503,0.32891,-2.4751,2.6183,1.3894,3.0499,-3.6623
0,-0.27544,-0.56888,-0.61693,-0.56307,5,-5.2085,-4.3003,0.33938
0,-4,4.5207,2.4759,-2.7383,3.2026,2.4705,-0.99401,5.1109
0,1.8288,-1.1406,-0.66717,0.73903,-0.42882,0.12164,0.12602,-0.94844
0,-0.15978,-1.9602,0.62328,-1.4837,4.2336,1.5392,7.2041,1.2827
0,3,5.1071,2.4607,0.18519,-3.0106,1.3896,1.1374,-3.391
0,-4,-3.821,-0.74146,-3.0604,1.7743,-3.2985,3.5547,-1.7681
